nearest_x,run,agent_id,x,y,z
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.410710567871345589e+01,8.896328717007294529e+01,8.837794968749336988e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.507307337077771336e+01,6.940351042865229658e+01,1.164766186726718189e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.408008387762250635e+01,9.293356306748209761e+01,6.721013087190732449e+01
2.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,7.341204836998787187e+01,5.742183666975277134e+01,7.333557355824127910e+01
2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,2.167047641768512634e+01,5.136934603409076772e+01,5.520208142681929608e+00
2.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,4.687063543831386170e+01,5.498717625902118655e+00,2.898469978046900053e+01
2.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.753643416251667730e+01,7.696071626107895725e+01,3.115405863256857089e+01
2.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,8.580476484641891943e+01,5.576262355192122300e+01,7.049029495029562042e+01
2.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,7.576313661812882572e+01,1.165597027428709609e+01,4.083650938204750247e+01
2.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,5.950023168863655343e+01,7.315299690417998590e+01,7.490551374859410316e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,7.535253011860018546e+01,1.005083163809202418e+01,3.718734261675550101e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01,4.686405256021848942e+01,2.082979745249619086e+01,3.246183550148845143e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,2.104036348394828693e+01,7.428701809503728271e+01,2.772103148098752357e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,8.457169322937119205e+01,5.446372848270164013e+01,2.294901639313429342e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,3.275499075226876045e+01,8.515427005224518098e+01,6.982477882862106355e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,8.506646272121808749e+01,4.479846812627741315e+01,2.264749613651751758e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01,9.395139744070084475e+01,8.765081461747355718e+01,1.241989091506265197e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.700000000000000000e+01,4.499679529704493319e+01,2.345380134334907396e+01,3.053701604406523629e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,8.719128858952373662e+01,2.471710318870514556e+01,7.136451843530814187e+01
2.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01,5.829931402778019134e+01,9.526103539038143708e+01,6.275892622761496398e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,1.466475873175138389e+01,1.368377043231963519e+01,9.408662629465675309e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.100000000000000000e+01,4.671567898064568070e+00,6.274406283265837203e+01,5.751619090602948958e+00
2.000000000000000000e+00,0.000000000000000000e+00,2.200000000000000000e+01,3.362452632973011646e+01,8.955795779340448348e+01,7.118835450002555376e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.300000000000000000e+01,7.782224050853064234e+00,8.147332524580131974e+01,8.848937877985866862e+01
2.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000000e+01,2.265924981279532346e+01,5.006403946246452819e+01,5.938753789196892008e+00
2.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,1.226795235708433118e+01,2.158440106394932556e+01,1.942237000499854460e+01
